name,lived_in,type,taxonomy,species,period_name,period_start,period_end,named,named_year,length_meters,continent_AF,continent_AQ,continent_AS,continent_EU,continent_NA,continent_OC,continent_SA,diet_carnivorous,diet_herbivorous,diet_omnivorous,diet_unknown
dacentrurus,United Kingdom,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae,armatus,Late Jurassic,154.0,150.0,Lucas,1902.0,6.0,False,False,False,True,False,False,False,False,True,False,False
daspletosaurus,Canada,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,torosus,Late Cretaceous,76.0,74.0,Russell,1970.0,9.0,False,False,False,False,True,False,False,True,False,False,False
datousaurus,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda,bashanensis,Mid Jurassic,170.0,170.0,Dong and Tang,1984.0,15.0,False,False,True,False,False,False,False,False,True,False,False
deinocheirus,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,mirificus,Late Cretaceous,70.0,66.0,Osmólska and Roniewicz,1970.0,10.0,False,False,True,False,False,False,False,False,False,True,False
deinonychus,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,antirrhopus,Early Cretaceous,120.0,110.0,Ostrom,1969.0,3.0,False,False,False,False,True,False,False,True,False,False,False
deltadromeus,Morocco,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,agilis,Late Cretaceous,99.0,94.0,Sereno Duthiel Iarochene Larsson Lyon Magwene Sidor Varricchio and Wilson,1996.0,8.1,True,False,False,False,False,False,False,True,False,False,False
dicraeosaurus,Tanzania,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,hansemanni,Late Jurassic,150.0,135.0,Janensch,1914.0,20.0,True,False,False,False,False,False,False,False,True,False,False
diplodocus,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,longus,Late Jurassic,155.0,145.0,Marsh,1878.0,26.0,False,False,False,False,True,False,False,False,True,False,False
dromaeosaurus,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,albertensis,Late Cretaceous,76.0,74.0,Matthew and Brown,1922.0,1.8,False,False,False,False,True,False,False,True,False,False,False
dromiceiomimus,Canada,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,brevitertius,Late Cretaceous,74.0,70.0,Parks,1926.0,3.5,False,False,False,False,True,False,False,False,False,True,False
